Condition 1,Condition 2,Cohen's d,P-value
invisible,contra_audio,0.9754172691319664,4.809547412854571e-05
invisible,contra_visual,0.3542861445204567,0.051561763182320655
invisible,const_contra_audio2,0.9247289737602368,7.897245521335617e-05
invisible,const_contra_visual,-0.6720215050322472,0.0008719991243488555
invisible,all,0.9754172691319664,4.809547412854571e-05
invisible,visual_only,0.9754172691319664,4.809547412854571e-05
invisible,audio_only,-0.9329903614147111,6.512424854781358e-05
contra_audio,contra_visual,-0.5089133578079827,0.0050001690559628225
contra_audio,const_contra_audio2,-0.17149858514250824,0.31731050786291415
contra_audio,const_contra_visual,-1.2108584262923192,6.346848094583428e-06
contra_audio,audio_only,-1.647751133782854,4.549910757258513e-07
contra_visual,const_contra_audio2,0.4439238717491943,0.013000100616220471
contra_visual,const_contra_visual,-0.8845379626717034,7.204522620143561e-05
contra_visual,all,0.5089133578079827,0.0050001690559628225
contra_visual,visual_only,0.5089133578079827,0.0050001690559628225
contra_visual,audio_only,-1.128152149635532,1.3802643659865725e-05
const_contra_audio2,const_contra_visual,-1.1656310103003926,9.683448713265378e-06
const_contra_audio2,all,0.17149858514250824,0.31731050786291415
const_contra_audio2,visual_only,0.17149858514250824,0.31731050786291415
const_contra_audio2,audio_only,-1.5656099068585865,6.977631664800807e-07
const_contra_visual,all,1.2108584262923192,6.346848094583428e-06
const_contra_visual,visual_only,1.2108584262923192,6.346848094583428e-06
const_contra_visual,audio_only,-0.06116084024154951,0.780356493846744
all,audio_only,-1.647751133782854,4.549910757258513e-07
visual_only,audio_only,-1.647751133782854,4.549910757258513e-07
